OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2021-01-02T08:57:33.816384,2.00562170,.0047095,55.4644,176.3903,58.3993,302.0535,0,U,24876,999,17200,0,.9E-6,0
GPS BIIR-4  (PRN 20),2000-025A,2021-01-03T11:32:47.065056,2.00563905,.0058029,53.6574,100.8501,163.3234,257.9451,0,U,26360,999,15133,0,-.6E-7,0
GPS BIIR-5  (PRN 28),2000-040A,2021-01-02T21:22:11.403264,2.00564318,.018384,55.8457,294.2943,281.8584,33.9960,0,U,26407,999,15000,0,-.17E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2021-01-03T12:15:04.618368,2.00569024,.0118535,55.8987,294.0632,35.6932,132.8519,0,U,27663,999,13137,0,-.2E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2021-01-02T12:07:07.755168,2.00556114,.02435,54.7573,44.8781,290.0163,88.0673,0,U,27704,999,13015,0,-.5E-6,0
GPS BIIR-10 (PRN 22),2003-058A,2021-01-02T13:35:38.982624,2.00567027,.0070336,53.4665,103.5657,298.4780,60.8294,0,U,28129,999,12484,0,-.2E-7,0
GPS BIIR-11 (PRN 19),2004-009A,2021-01-02T19:17:43.687968,2.00571300,.0087408,56.2368,354.9276,101.4389,71.1382,0,U,28190,999,12300,0,-.52E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2021-01-02T22:16:56.458272,2.00573892,.0205164,55.0963,44.8034,270.2916,267.7219,0,U,28474,999,11849,0,-.51E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2021-01-02T18:54:32.807808,2.00581523,.0138372,56.3288,352.3314,268.6639,271.8602,0,U,28874,999,11189,0,-.51E-6,0
GPS BIIRM-2 (PRN 31),2006-042A,2021-01-02T09:28:13.173024,2.00558173,.009913,54.8068,230.4308,11.6885,167.9453,0,U,29486,999,10447,0,.7E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2021-01-02T14:09:00.795456,2.00574800,.0079589,55.8913,293.0221,66.2992,294.5709,0,U,29601,999,10346,0,-.15E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2021-01-01T21:47:34.831392,2.00548515,.0129273,53.2113,162.5689,54.6041,306.5700,0,U,32260,999,9689,0,.72E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2021-01-03T08:52:23.802816,2.00560634,.0012666,56.4306,353.0058,133.7188,334.1664,0,U,32384,999,9564,0,-.5E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2021-01-02T07:33:26.175456,2.00569932,.0144528,54.5569,229.4911,225.5915,133.2987,0,U,32711,999,9382,0,.71E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2021-01-02T10:04:38.828640,2.00549549,.0058408,54.7044,106.9763,49.6882,50.5663,0,U,35752,999,8341,0,.4E-7,0
GPS BIIF-1  (PRN 25),2010-022A,2021-01-01T09:13:20.154720,2.00561938,.0094004,55.1660,288.9639,52.4816,125.7631,0,U,36585,999,7762,0,-.8E-7,0
GPS BIIF-2  (PRN 01),2011-036A,2021-01-01T00:24:59.438304,2.00561837,.0100351,56.3085,49.5091,46.1469,315.1589,0,U,37753,999,6930,0,-.45E-6,0
GPS BIIF-3  (PRN 24),2012-053A,2021-01-02T23:50:25.491840,2.00569094,.0106303,53.6029,225.1176,40.1401,320.7159,0,U,38833,999,6039,0,.73E-6,0
GPS BIIF-4  (PRN 27),2013-023A,2021-01-02T08:36:00.405792,2.00563688,.0086667,55.9810,348.9227,31.0359,329.4800,0,U,39166,999,5593,0,-.52E-6,0
GPS BIIF-5  (PRN 30),2014-008A,2021-01-01T20:35:09.567168,2.00552362,.0048101,53.7118,230.6187,199.3472,160.5553,0,U,39533,999,4974,0,.7E-6,0
GPS BIIF-6  (PRN 06),2014-026A,2021-01-02T03:15:48.436992,2.00562946,.0024016,56.2804,48.9923,292.6940,67.1215,0,U,39741,999,4858,0,-.45E-6,0
GPS BIIF-7  (PRN 09),2014-045A,2021-01-02T05:26:35.778336,2.00572866,.0018032,54.6092,168.0118,103.8893,256.2934,0,U,40105,999,4701,0,.81E-6,0
GPS BIIF-8  (PRN 03),2014-068A,2021-01-02T14:24:42.192576,2.00562671,.0030775,55.4532,108.9687,47.7886,312.4778,0,U,40294,999,4526,0,.8E-7,0
GPS BIIF-9  (PRN 26),2015-013A,2020-12-31T05:48:20.727648,2.00556594,.0054895,54.0768,286.7560,11.3220,348.8422,0,U,40534,999,4183,0,-.8E-7,0
GPS BIIF-10 (PRN 08),2015-033A,2021-01-02T09:38:32.985888,2.00552292,.0060321,55.4929,348.0011,354.9428,5.0021,0,U,40730,999,4004,0,-.53E-6,0
GPS BIIF-11 (PRN 10),2015-062A,2021-01-02T10:41:50.710848,2.00563881,.0064565,55.4477,108.8059,211.3199,148.3004,0,U,41019,999,3788,0,.7E-7,0
GPS BIIF-12 (PRN 32),2016-007A,2021-01-02T00:57:31.495968,2.00569397,.0045305,54.8398,168.5573,221.1599,138.4809,0,U,41328,999,3593,0,.81E-6,0
GPS BIII-1  (PRN 04),2018-109A,2021-01-02T18:50:22.502688,2.00571764,.0010565,55.0213,170.8355,196.8128,237.3237,0,U,43873,999,1517,0,.88E-6,0
GPS BIII-2  (PRN 18),2019-056A,2021-01-02T19:48:43.845408,2.00561018,.0011813,55.3734,50.2355,184.2953,176.8516,0,U,44506,999,1013,0,-.48E-6,0
GPS BIII-3  (PRN 23),2020-041A,2021-01-02T09:47:31.341696,2.00567889,.0009292,55.1590,107.5058,137.2891,222.7902,0,U,45854,999,408,0,.5E-7,0
